City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,sumbawa besar,-8.5,117.4333,25.04000000000002,71,5,1.23,ID,1697720910
281,puerto palomas,31.7667,-107.6167,16.529999999999973,39,0,1.77,MX,1697720910
282,mhamid,29.82,-5.72,34.79000000000002,14,96,11.09,MA,1697720910
283,kiunga,-6.1219,141.2906,23.399999999999977,98,100,1.28,PG,1697720910
284,cheria,35.2731,7.7519,27.069999999999993,18,93,8.52,DZ,1697720910
285,katsuura,35.1333,140.3,22.220000000000027,71,100,6.69,JP,1697720911
286,holualoa,19.6228,-155.9522,23.410000000000025,80,0,3.58,US,1697720911
287,yallahs,17.8748,-76.5624,29.49000000000001,76,55,2.43,JM,1697720911
288,touros,-5.1989,-35.4608,28.689999999999998,60,75,5.57,BR,1697720911
289,magadan,59.5667,150.8,-2.170000000000016,75,81,4.92,RU,1697720911
290,dabakala,8.3667,-4.4333,31.24000000000001,62,99,2.31,CI,1697720911
291,rouissat,31.9243,5.3502,35.69,12,100,6.09,DZ,1697720911
292,crescent city,41.756,-124.2018,11.199999999999989,100,100,2.06,US,1697720781
293,victorica,-36.2151,-65.4359,13.899999999999977,55,6,4.76,AR,1697720912
294,nyala,12.05,24.8833,35.05000000000001,13,10,3.38,SD,1697720912
295,manado,1.487,124.8455,26.579999999999984,89,20,1.03,ID,1697720740
296,pamandzi,-12.7967,45.2794,31.029999999999973,62,0,4.63,YT,1697720912
297,vilyuchinsk,52.9306,158.4028,7.329999999999984,82,55,2.61,RU,1697720912
298,avarua,-21.2078,-159.775,22.180000000000007,73,75,3.09,CK,1697720913
299,maputo,-25.9653,32.5892,25.970000000000027,65,40,5.66,MZ,1697720913
300,yung shue wan,22.2333,114.1167,26.680000000000007,86,100,7.23,HK,1697720913
301,vernon,50.2581,-119.2691,11.120000000000005,89,27,0.45,CA,1697720913
302,bodo,67.28,14.405,2.8000000000000114,55,0,7.2,NO,1697720913
303,lingyuan,41.24,119.4011,7.149999999999977,36,0,6.37,CN,1697720913
304,kavalerovo,44.2661,135.0572,5.3700000000000045,61,2,2.24,RU,1697720913
305,pangkalanbuun,-2.6833,111.6167,23.329999999999984,97,100,1.01,ID,1697720913
306,tommot,58.9564,126.2925,-7.2099999999999795,95,98,2.32,RU,1697720914
307,bikenibeu village,1.3673,173.1241,26.129999999999995,94,100,6.69,KI,1697720914
308,nuuk,64.1835,-51.7216,-2.509999999999991,59,40,10.29,GL,1697720674
309,beichengqu,40.4394,113.1536,5.480000000000018,42,1,4.4,CN,1697720725
310,novyy urgal,51.0736,132.5642,0.13999999999998636,84,100,2.47,RU,1697720914
311,lingig,8.0389,126.4125,26.680000000000007,82,7,1.24,PH,1697720914
312,guerrero negro,27.9769,-114.0611,20.069999999999993,85,1,3.45,MX,1697720914
313,padang,-0.9492,100.3543,27.180000000000007,91,100,1.18,ID,1697720914
314,fada,9.5667,8.3,30.45999999999998,44,92,2.01,NG,1697720915
